河南频道,#genre#
广西卫视,http://123.14.89.200:8888/rtp/225.1.4.31:1060
新疆卫视,http://106.46.36.33:808/hls/4/index.m3u8
江苏卫视,http://106.46.36.33:808/hls/63/index.m3u8
江苏卫视,http://123.14.87.87:8888/hls/28/index.m3u8
江苏卫视,http://123.14.89.200:8888/hls/28/index.m3u8
江苏卫视,http://182.122.74.71:8089/hls/31/index.m3u8
江西卫视,http://106.46.36.33:808/hls/73/index.m3u8
江西卫视,http://123.14.87.87:8888/hls/31/index.m3u8
江西卫视,http://123.14.89.200:8888/hls/31/index.m3u8
江西卫视,http://182.122.74.71:8089/hls/39/index.m3u8
河北卫视,http://106.46.36.33:808/hls/72/index.m3u8
河北卫视,http://123.14.87.87:8888/rtp/225.1.4.34:1063
河北卫视,http://123.14.89.200:8888/rtp/225.1.4.34:1063
河南卫视,http://106.46.36.33:808/hls/31/index.m3u8
河南卫视,http://123.14.87.87:8888/hls/17/index.m3u8
河南卫视,http://123.14.89.200:8888/hls/17/index.m3u8
河南卫视,http://182.122.74.71:8089/hls/17/index.m3u8
浙江卫视,http://106.46.36.33:808/hls/61/index.m3u8
浙江卫视,http://123.14.87.87:8888/hls/18/index.m3u8
浙江卫视,http://123.14.89.200:8888/hls/18/index.m3u8
浙江卫视,http://182.122.74.71:8089/hls/32/index.m3u8
海南卫视,http://106.46.36.33:808/hls/88/index.m3u8
深圳卫视,http://106.46.36.33:808/hls/75/index.m3u8
深圳卫视,http://123.14.87.87:8888/hls/24/index.m3u8
深圳卫视,http://123.14.89.200:8888/hls/24/index.m3u8
深圳卫视,http://182.122.74.71:8089/hls/38/index.m3u8
湖北卫视,http://106.46.36.33:808/hls/77/index.m3u8
湖北卫视,http://123.14.87.87:8888/hls/23/index.m3u8
湖北卫视,http://123.14.89.200:8888/hls/23/index.m3u8
湖北卫视,http://182.122.74.71:8089/hls/40/index.m3u8
湖南卫视,http://106.46.36.33:808/hls/74/index.m3u8
湖南卫视,http://123.14.87.87:8888/hls/27/index.m3u8
湖南卫视,http://123.14.89.200:8888/hls/27/index.m3u8
湖南卫视,http://182.122.74.71:8089/hls/30/index.m3u8
甘肃卫视,http://106.46.36.33:808/hls/89/index.m3u8
甘肃卫视,http://123.14.87.87:8888/rtp/225.1.4.42:1071
甘肃卫视,http://123.14.89.200:8888/rtp/225.1.4.42:1071
西藏卫视,http://106.46.36.33:808/hls/5/index.m3u8
贵州卫视,http://106.46.36.33:808/hls/71/index.m3u8
贵州卫视,http://123.14.87.87:8888/rtp/225.1.4.41:1070
贵州卫视,http://123.14.89.200:8888/rtp/225.1.4.41:1070
贵州卫视,http://182.122.74.71:8089/hls/44/index.m3u8
辽宁卫视,http://106.46.36.33:808/hls/69/index.m3u8
辽宁卫视,http://123.14.87.87:8888/hls/30/index.m3u8
辽宁卫视,http://123.14.89.200:8888/hls/30/index.m3u8
辽宁卫视,http://182.122.74.71:8089/hls/45/index.m3u8
重庆卫视,http://106.46.36.33:808/hls/80/index.m3u8
重庆卫视,http://123.14.87.87:8888/rtp/225.1.4.29:1058
重庆卫视,http://123.14.89.200:8888/rtp/225.1.4.29:1058
陕西卫视,http://106.46.36.33:808/hls/70/index.m3u8
陕西卫视,http://123.14.87.87:8888/rtp/225.1.4.39:1068
陕西卫视,http://123.14.89.200:8888/rtp/225.1.4.39:1068
青海卫视,http://106.46.36.33:808/hls/90/index.m3u8
香港卫视,http://106.46.36.33:808/hls/151/index.m3u8
黑龙江卫视,http://106.46.36.33:808/hls/66/index.m3u8
黑龙江卫视,http://123.14.87.87:8888/hls/25/index.m3u8
黑龙江卫视,http://123.14.89.200:8888/hls/25/index.m3u8
黑龙江卫视,http://182.122.74.71:8089/hls/42/index.m3u8
其他频道,#genre#
1,http://125.41.174.244:8888
1,http://42.237.212.179:8090
BTV动画,http://123.14.87.87:8888/rtp/225.1.4.48:1077
BTV动画,http://123.14.89.200:8888/rtp/225.1.4.48:1077
CETV1,http://106.46.36.33:808/hls/19/index.m3u8
CGTN,http://106.46.36.33:808/hls/16/index.m3u8
IPTV5+,http://123.14.87.87:8888/rtp/225.1.4.168:1220
IPTV5+,http://123.14.89.200:8888/rtp/225.1.4.168:1220
信阳公共,http://106.46.36.33:808/hls/101/index.m3u8
信阳综合,http://106.46.36.33:808/hls/100/index.m3u8
卡酷动画,http://106.46.36.33:808/hls/93/index.m3u8
嘉佳卡通,http://106.46.36.33:808/hls/92/index.m3u8
嘉佳卡通,http://123.14.87.87:8888/rtp/225.1.4.92:1121
嘉佳卡通,http://123.14.89.200:8888/rtp/225.1.4.92:1121
平桥广电中心,http://106.46.36.33:808/hls/103/index.m3u8
浉河广电中心,http://106.46.36.33:808/hls/102/index.m3u8
炫动卡通,http://106.46.36.33:808/hls/94/index.m3u8
睛彩中原,http://123.14.87.87:8888/hls/29/index.m3u8
睛彩中原,http://123.14.89.200:8888/hls/29/index.m3u8
金鹰卡通,http://106.46.36.33:808/hls/91/index.m3u8
金鹰卡通,http://123.14.87.87:8888/rtp/225.1.4.49:1078
金鹰卡通,http://123.14.89.200:8888/rtp/225.1.4.49:1078
